	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)
VARIABLES	childSDQ_score	childSDQ_score	childSDQ_score	childSDQ_score	childSDQ_score	childSDQ_score	faceMe	faceMe	faceMe	faceMe	faceMe	faceMe	childHealthPerc	childHealthPerc	childHealthPerc	childHealthPerc	childHealthPerc	childHealthPerc
																		
ReggioAsilo	0.410	4.931**	-1.273				-3.885	0.040	-0.540				0.063	-0.297	0.206			
	[5.571]	[2.190]	[3.758]				[2.621]	[0.678]	[1.074]				[0.674]	[0.257]	[0.409]			
ReggioMaterna				-3.585*	5.204	-1.746				-0.842	-0.979	-1.730				0.361	-0.122	0.713
				[2.118]	[4.790]	[3.414]				[0.754]	[1.588]	[1.300]				[0.318]	[0.502]	[0.482]
nido	-1.570	-1.021	0.057				3.116	0.109	0.132				-0.071	0.080	-0.070			
	[4.560]	[0.653]	[1.118]				[2.185]	[0.213]	[0.336]				[0.560]	[0.076]	[0.125]			
Age	0.926	-0.407	-0.071	1.086	-0.788	-0.028	-0.099	0.214	0.181	-0.036	0.399*	0.212	0.133*	0.019	0.022	0.129*	0.030	0.008
	[0.666]	[0.511]	[0.473]	[0.676]	[0.667]	[0.421]	[0.341]	[0.179]	[0.163]	[0.278]	[0.237]	[0.159]	[0.073]	[0.054]	[0.052]	[0.078]	[0.070]	[0.051]
Male	0.096	0.714**	0.545*	0.035	0.717**	0.506*	0.018	-0.153	-0.083	-0.008	-0.144	-0.095	-0.090*	-0.067*	-0.066**	-0.096*	-0.064*	-0.070**
	[0.452]	[0.328]	[0.279]	[0.460]	[0.331]	[0.277]	[0.230]	[0.108]	[0.101]	[0.186]	[0.113]	[0.107]	[0.052]	[0.035]	[0.031]	[0.055]	[0.034]	[0.034]
poorBHealth	-0.378	-0.333	0.072	-0.397	-0.330	0.008	-0.335	0.062	-0.035	-0.444	0.156	-0.012	-0.180*	-0.018	-0.108*	-0.210**	-0.082	-0.118*
	[0.774]	[0.571]	[0.506]	[0.710]	[0.629]	[0.464]	[0.476]	[0.176]	[0.194]	[0.381]	[0.189]	[0.199]	[0.098]	[0.061]	[0.059]	[0.104]	[0.063]	[0.064]
oldsibs	0.006	-0.157	-0.414	-0.594	-0.501	-0.496	-0.646	-0.324	-0.320	-0.260	-0.380	-0.438	0.134	0.064	0.109	0.182**	0.112	0.150**
	[0.659]	[0.636]	[0.572]	[0.564]	[0.778]	[0.559]	[0.625]	[0.299]	[0.283]	[0.354]	[0.311]	[0.295]	[0.095]	[0.073]	[0.068]	[0.085]	[0.069]	[0.073]
momMaxEdu_Uni_F	-1.267**	-0.303	-0.821**	-1.283**	-0.274	-0.802**	-0.431	-0.107	-0.115	-0.491*	-0.138	-0.102	0.056	0.010	0.034	0.051	0.020	0.026
	[0.545]	[0.438]	[0.332]	[0.576]	[0.559]	[0.334]	[0.340]	[0.141]	[0.132]	[0.278]	[0.177]	[0.139]	[0.061]	[0.044]	[0.038]	[0.065]	[0.053]	[0.040]
dadMaxEdu_Uni_F	-1.513*	-0.410	-0.931***	-1.850***	-0.404	-0.910***	0.076	0.081	0.095	0.520**	-0.007	0.084	0.038	-0.042	0.000	0.045	-0.024	0.002
	[0.805]	[0.426]	[0.347]	[0.551]	[0.459]	[0.335]	[0.419]	[0.136]	[0.128]	[0.218]	[0.151]	[0.131]	[0.097]	[0.045]	[0.041]	[0.073]	[0.049]	[0.042]
HighInc_F	0.092	0.141	0.324	0.226	0.062	0.316	-0.154	0.165	0.138	0.073	0.299	0.181	0.065	0.054	0.045	0.036	0.032	0.031
	[0.635]	[0.476]	[0.382]	[0.658]	[0.610]	[0.387]	[0.333]	[0.160]	[0.144]	[0.255]	[0.200]	[0.154]	[0.074]	[0.052]	[0.044]	[0.077]	[0.062]	[0.050]
HighInc_Miss	-1.214*	0.291	-0.022	-0.954*	0.144	0.059	0.153	0.047	0.137	0.424**	0.198	0.142	0.038	0.064	0.066*	0.028	0.068	0.069*
	[0.655]	[0.403]	[0.342]	[0.558]	[0.466]	[0.327]	[0.275]	[0.135]	[0.118]	[0.166]	[0.166]	[0.123]	[0.078]	[0.044]	[0.038]	[0.069]	[0.048]	[0.040]
houseOwn_F	-1.448***	-0.375	-0.848***	-1.764***	-0.176	-0.871***	-0.216	-0.138	-0.149	-0.116	-0.298	-0.212*	-0.015	-0.081*	-0.054	0.020	-0.086	-0.031
	[0.533]	[0.401]	[0.295]	[0.526]	[0.563]	[0.316]	[0.249]	[0.123]	[0.109]	[0.213]	[0.192]	[0.125]	[0.062]	[0.042]	[0.034]	[0.065]	[0.058]	[0.041]
distCenter	-0.006	0.040	0.012	-0.062	-0.013	-0.001	-0.047	0.021	0.006	-0.056	0.035	-0.004	-0.022**	-0.023**	-0.020***	-0.019	-0.021**	-0.017*
	[0.093]	[0.077]	[0.067]	[0.095]	[0.086]	[0.068]	[0.046]	[0.026]	[0.024]	[0.037]	[0.028]	[0.027]	[0.011]	[0.010]	[0.008]	[0.012]	[0.009]	[0.009]
cgRelig_F	-0.584	-0.188	-0.444	-1.028	-0.167	-0.445	0.041	-0.015	-0.014	-0.240	-0.030	-0.073	-0.016	-0.058	-0.028	0.054	-0.037	0.012
	[0.757]	[0.448]	[0.384]	[0.889]	[0.511]	[0.442]	[0.294]	[0.150]	[0.136]	[0.264]	[0.175]	[0.155]	[0.076]	[0.047]	[0.042]	[0.096]	[0.055]	[0.052]
CAPI	1.171**	0.116	0.664**	1.513***	0.005	0.672**	-0.105	0.230*	0.103	-0.065	0.280	0.148	-0.116**	0.091**	0.021	-0.154**	0.065	0.003
	[0.478]	[0.396]	[0.314]	[0.560]	[0.544]	[0.305]	[0.219]	[0.134]	[0.107]	[0.198]	[0.197]	[0.113]	[0.055]	[0.042]	[0.035]	[0.065]	[0.055]	[0.038]
Parma			-1.065			-1.331			-0.650			-1.279*			0.062			0.332
			[2.036]			[1.866]			[0.578]			[0.690]			[0.219]			[0.260]
Padova		1.986***	-0.482		2.408	-0.813		0.244	-0.351		-0.178	-1.005		0.022	0.158		0.050	0.439*
		[0.736]	[1.847]		[1.749]	[1.863]		[0.226]	[0.530]		[0.568]	[0.705]		[0.082]	[0.198]		[0.185]	[0.259]
Constant	4.988	9.916***	10.458***	5.680	11.651***	10.549***	11.160***	8.098***	8.957***	11.084***	7.349***	9.564***	-0.042	0.700*	0.585	-0.275	0.624*	0.315
	[4.557]	[3.413]	[3.912]	[4.767]	[3.564]	[3.396]	[2.434]	[1.194]	[1.310]	[1.865]	[1.278]	[1.349]	[0.513]	[0.367]	[0.439]	[0.568]	[0.367]	[0.443]
																		
Observations	309	727	876	309	732	875	310	728	878	310	732	876	309	727	876	309	731	874
R-squared	0.152	-0.133	0.060	0.101	-0.178	0.058	-0.479	0.024	0.024	0.004	-0.066	-0.076	0.086	-0.009	0.017	-0.054	0.028	-0.179
Robust standard errors in brackets																		
*** p<0.01, ** p<0.05, * p<0.1																		
